team,season,xgf60,xga60,ev_xgf60,ev_xga60,pp_xgf60,pp_xga60,pk_xgf60,pk_xga60,hdf,hda,hdf_percent,xgoals_percentage,corsi_percentage,fenwick_percentage,penalties_drawn_per60,penalties_taken_per60,penalty_diff,gsa_per60,save_percent,hd_save_percent
EDM,2018,2.675680572237618,2.9267860617732118,2.2900830915974235,2.541275382270515,6.969221721231131,0.8345422466183101,1.1958564622579657,6.273525940819091,71.35,78.43,0.4763653358258779,0.48,0.48,0.48,,,,-0.346402378060646,0.8956086286594761,0.6651583710407241
NJD,2018,2.6084182649867587,2.804630446994623,2.355213813107692,2.4568554927184256,4.6251366120218576,1.1001821493624773,1.1111111111111112,5.44011544011544,65.73,70.74,0.48164431743240277,0.48,0.48,0.48,,,,-0.4575475483508546,0.8954878519089857,0.5918367346938775
WSH,2018,2.814839120099106,3.0592828205042353,2.3673339715158788,2.622712888918615,6.1710376282782216,0.9061193462561764,0.5320687611144043,5.746058091286307,71.31,85.17,0.45571319018404904,0.48,0.49,0.49,,,,0.07003046840995081,0.9040618955512573,0.6666666666666667
LAK,2018,2.5466129485617914,2.949565659675282,2.264631127248721,2.462782637398911,4.968215631339967,1.2555308665829388,0.8488210818307905,7.596116504854369,63.68,86.13,0.42507175755957544,0.46,0.48,0.48,,,,-0.17045682697327041,0.8995345228859581,0.6470588235294117
ANA,2018,2.386484312148029,3.050804505229284,2.078818266031379,2.5382190079383213,6.14570685169124,0.9939288811795317,0.47025668367735546,6.606900754055907,59.37,81.47,0.42154217551831863,0.44,0.47,0.46,,,,0.058045052292839926,0.909024211298606,0.6624472573839663
MTL,2018,2.869708165385275,2.7254482070038963,2.631305243570147,2.3081677410779555,4.85923949299533,0.7717144763175451,0.8213992480878095,6.138714835141092,72.81,73.93,0.4961837263186588,0.51,0.53,0.53,,,,-0.13070533141936996,0.9074509803921569,0.6651583710407241
SJS,2018,3.04030524505589,2.7040385855546,2.6729094983795854,2.266814406278378,6.9773497897734975,0.9928116099281161,1.1299198250728864,6.24161807580175,88.88,75.19,0.5417199975620162,0.53,0.54,0.54,,,,-0.41558738177128124,0.8888888888888888,0.6682242990654206
COL,2018,2.8279914064411473,2.807600138086827,2.416956714202637,2.3807101752436832,6.341485405161727,0.557195987828243,0.9035091039860695,6.186925086118787,75.99,80.4,0.4859006330328026,0.5,0.49,0.5,,,,-0.13646464206352668,0.9067634696217043,0.6088888888888888
CGY,2018,3.1455992997929676,2.7840904882934137,2.6498199804838656,2.330781654833608,6.198517362465861,0.7907920405774483,1.4820061086273295,7.016422469124873,92.0,79.1,0.5376972530683811,0.53,0.54,0.53,,,,0.08156065375098875,0.9030856149500217,0.7300884955752213
CHI,2018,2.6792833019256324,3.2637008424850804,2.2925604524180967,2.750195007800312,4.656025538707103,0.6831604150039904,1.0836408953650003,7.393951013756411,65.0,92.06,0.4138545778683306,0.45,0.49,0.48,,,,-0.24280440087160524,0.8980021030494216,0.6479400749063671
PHI,2018,2.8632806073283663,2.9557497758781044,2.452187066683474,2.587268372620698,6.493332775989633,1.119592024411654,1.0750471633000507,7.015138268991856,84.14,87.46,0.49032634032634037,0.49,0.49,0.5,,,,-0.42874266777244663,0.894973743435859,0.6705426356589148
BUF,2018,2.7097820537207045,2.9017589876560512,2.3398279538269247,2.4934931255054775,5.7478208336929315,0.7006127556744628,0.6304846640131117,6.313275579489581,67.37,71.4,0.48547957051235857,0.48,0.5,0.5,,,,-0.317879203499955,0.900887573964497,0.6157635467980296
NSH,2018,2.8015460804444983,2.816523734750574,2.5270365796533665,2.4027083422049995,4.791565019640272,1.0910895182964648,0.936986301369863,6.4664383561643834,75.01,80.98,0.4808641579588435,0.5,0.52,0.52,,,,0.25582799855054966,0.9138211382113821,0.6902654867256637
DET,2018,2.6068928253379537,3.2162604771545498,2.2085907631917894,2.7095128084558295,6.317469701448418,0.916937629323086,1.068628299437473,7.8511466897446995,67.77,90.98,0.42689763779527556,0.45,0.47,0.46,,,,-0.049709991694989145,0.9015206372194062,0.7
DAL,2018,2.794704388828437,2.682626042800145,2.3260759618587095,2.2624249077923198,6.772560309738906,0.9006254343293955,0.663878019160707,5.4033193900958025,76.89,68.91,0.5273662551440329,0.51,0.48,0.49,,,,0.2645387498488695,0.9226903749516815,0.6954314720812182
OTT,2018,2.788589687844438,3.1335686044512756,2.338639486944572,2.766376546037563,6.7138370589322,1.1804914095695547,1.129060579455663,6.2756804214223,81.22,86.14,0.4853011472275334,0.47,0.45,0.45,,,,-0.5188638225152437,0.8973046741726374,0.6016260162601625
CBJ,2019,2.534562860763058,2.3826552161058707,2.271767697574974,2.1394780582744954,4.707026554474921,1.0995519615342586,0.9534812265716216,4.40680882443311,52.5,45.61,0.5351136479461829,0.52,0.49,0.51,2.646768970857384,2.815711671124877,-0.1689427002674928,-0.19372096297339142,0.9125656951743908,0.6444444444444444
WSH,2019,3.1060381688178147,2.766592160583768,2.475192180369047,2.4431696999408676,6.5247170358904905,1.1109606268743348,0.7617468696828236,4.595611011735962,80.99,68.81,0.5406542056074766,0.53,0.52,0.52,4.073352098808565,3.787502828716735,0.2858492700918296,-0.2634101023896206,0.8980769230769231,0.6682926829268292
WPG,2019,2.8789899749276313,3.1497715585558006,2.124851623033713,2.7503621799964484,7.351531569076891,1.0295894978120441,1.5433470943156558,8.080279453794857,71.97,76.66,0.4842225661037476,0.48,0.5,0.49,2.8459269994923524,3.2504950533417554,-0.404568053849403,0.3456964267030416,0.9130246646473388,0.6517857142857143
NJD,2019,2.802578067400766,2.994648845339739,2.3498194945848376,2.673104693140794,6.199028452463567,1.1575294934073561,1.8360428231562251,5.904242664551943,60.2,66.34,0.47573889679152837,0.48,0.47,0.48,3.5959759316954836,3.681594406259662,-0.08561847456417837,-0.20177420505624638,0.900753212228622,0.6580310880829016
