team,season,xgf60,xga60,ev_xgf60,ev_xga60,pp_xgf60,pp_xga60,pk_xgf60,pk_xga60,hdf,hda,hdf_percent,xgoals_percentage,corsi_percentage,fenwick_percentage,penalties_drawn_per60,penalties_taken_per60,penalty_diff,gsa_per60,save_percent,hd_save_percent,nhl_tricode,wins,losses,ot,points
TBL,2013,2.696885171234129,2.6318956603842585,2.2647301825624164,2.193013726781273,5.765902323962724,0.8547233285642474,0.8584730686248533,6.258677466974526,66.83,68.67,0.493210332103321,0.51,0.5,0.5,3.901764371465522,4.021450395130109,-0.1196860236645869,0.1304577657943994,0.912880366819508,0.6387434554973822,TBL,18.0,26.0,4.0,40.0
ANA,2013,2.7602328245167023,2.5646361866469864,2.355800576900101,2.184215467067197,5.702450811183984,0.659993096306524,1.1028224996988798,6.650178664632433,66.2,70.12,0.4856220657276995,0.52,0.5,0.51,4.18362814865772,4.13554046878809,0.0480876798696296,0.1241864332633169,0.9137638062871708,0.6225490196078431,ANA,30.0,12.0,6.0,66.0
MIN,2013,2.290495114590492,2.254638898018944,1.8737007874015748,1.8355076668048071,6.567144877753082,0.6212164073550211,0.5914203084832905,5.481844473007712,65.69,58.69,0.5281395722785014,0.5,0.49,0.49,3.7409985956315177,3.812711028774614,-0.0717124331430962,-0.1118713957032302,0.9128904531456226,0.6047904191616766,MIN,26.0,19.0,3.0,55.0
MTL,2013,2.543327356685665,2.685164224254505,2.157769469073817,2.3260591817113556,5.402184707050646,0.9149288315127442,0.8352194118273085,5.527262407322005,69.66,68.33,0.504819189796362,0.49,0.47,0.48,4.49550749752086,4.519547644566426,-0.0240401470455662,0.2691294461751123,0.9209284028324154,0.6799999999999999,MTL,29.0,14.0,5.0,63.0
ARI,2013,2.4827215006927346,2.812722397759327,2.000125727648767,2.278184995662396,6.611612903225806,0.7361876832844575,0.639597614894739,6.759583012209467,65.97,80.09,0.4516636998493769,0.47,0.5,0.5,3.911210342181068,4.018858333250272,-0.1076479910692036,0.1334835089258125,0.9118457300275482,0.6504424778761062,ARI,21.0,18.0,9.0,51.0
DET,2013,2.5030472236774917,2.4489730955680966,2.0762043031627995,2.060858775565328,5.707045735475896,0.6688813349814586,0.7688507918058985,5.299578672090658,67.81,65.21,0.5097729664712074,0.51,0.51,0.51,3.831742852784944,3.772058384673029,0.0596844681119153,-0.1890803949785467,0.9079933388842631,0.554945054945055,DET,24.0,16.0,8.0,56.0
STL,2013,2.5291714702687575,2.283751274481711,2.1647250343389124,1.8631530752403724,5.796311523552214,0.7400446376130624,0.5893065939127662,4.833079403323531,63.77,61.19,0.5103233034571063,0.53,0.53,0.53,4.642112207702201,4.546151231832388,0.0959609758698132,0.0286683415411064,0.9130836800739712,0.6608187134502924,STL,29.0,17.0,2.0,60.0
NSH,2013,2.44574039559911,2.341129080743101,2.116292231600187,2.0021654076133766,5.816829143150334,0.4232939969214982,0.3130434782608696,5.805251829530779,61.41,57.88,0.5147958755972839,0.51,0.48,0.49,3.5832381410449106,3.5952624301088196,-0.012024289063909,-0.4605302711477185,0.90168776371308,0.6167664670658682,NSH,16.0,23.0,9.0,41.0
BOS,2013,2.86550016904954,2.327420504872309,2.3688347472395,1.9943498423450208,7.906756820653459,0.7455671662962788,0.928649040202825,5.060485331401666,80.12,52.63,0.6035404896421845,0.55,0.53,0.53,4.109410201219165,3.6394190051853017,0.4699911960338636,0.2666898761084461,0.9283018867924528,0.6073619631901841,BOS,28.0,14.0,6.0,62.0
EDM,2013,2.497480880788454,3.043055862221241,2.096481528129416,2.5886321038677145,5.613592765141134,0.9245585874799358,0.4943072209403487,6.413738321292128,60.15,82.9,0.4204823488290807,0.45,0.45,0.44,4.407956803629138,4.3597824123326445,0.0481743912964933,-0.1725847568196874,0.9009643916913946,0.6398305084745763,EDM,19.0,22.0,7.0,45.0
NJD,2013,2.4208749061081236,2.120314546095095,2.1540406857822902,1.7154970434006471,4.671720015593191,0.9215575865205526,0.569471842781107,4.947035396583169,59.84,51.61,0.5369223867205025,0.53,0.53,0.52,3.4219849905941944,3.2066153058714826,0.2153696847227117,-0.2128570384009464,0.906653901388224,0.5733333333333333,NJD,19.0,19.0,10.0,48.0
CBJ,2013,2.3626262118852663,2.350449590596273,1.9625537139349296,1.8953345610804175,5.116158338741077,0.4741000877963126,0.9899601358334564,6.044736453565628,59.14,64.01,0.48022736500203,0.5,0.5,0.5,4.291957602853268,4.195509117395891,0.096448485457377,-0.2295473953885567,0.915213946117274,0.5730994152046784,CBJ,24.0,17.0,7.0,55.0
NYI,2013,2.821540475612957,2.806588272821215,2.292941078423202,2.3296941411784315,6.270610942608422,0.7671642966872809,1.378348623853211,7.398165137614679,77.62,78.58,0.4969270166453265,0.5,0.5,0.5,4.234463830621447,4.36604321518878,-0.1315793845673329,-0.3154316700945976,0.8941176470588236,0.5450236966824644,NYI,24.0,17.0,7.0,55.0
PIT,2013,2.5624822450896185,2.370578818433691,2.0717934940032157,2.0331051042982904,6.623889209463358,0.5359492210040392,0.5404516102496607,6.23074075597417,70.58,55.05,0.5618084852344185,0.52,0.49,0.5,3.9463525983162495,4.295267919508845,-0.3489153211925955,-0.0838599927142202,0.913522679101314,0.6521739130434783,PIT,36.0,12.0,0.0,72.0
DAL,2013,2.8982235875517564,2.8779083745158274,2.372521132882893,2.3260309006427433,6.182564392867252,1.1017548825360883,1.0332020258863253,7.378901346262067,76.98,83.41,0.4799551094207869,0.5,0.51,0.51,4.0750634433017225,4.315480165620409,-0.2404167223186863,0.2092827567784158,0.9109149277688604,0.7295081967213115,DAL,22.0,22.0,4.0,48.0
WSH,2013,2.6022115900021836,2.8855889301383733,2.0738892907925264,2.321450844413401,7.789498249708284,0.9843640606767796,0.5358901656469184,7.202954782868229,66.36,79.21,0.4558631586178471,0.47,0.48,0.47,4.204800381171706,4.276270076035814,-0.071469694864108,0.1578289094915725,0.9167575427117411,0.6666666666666667,WSH,27.0,18.0,3.0,57.0
LAK,2013,2.8339759333251133,2.4367658281208864,2.474726802332317,1.982469011854655,5.722700593961973,0.6769057744350332,0.6889456455268175,6.074894780387783,75.87,69.73,0.5210851648351648,0.54,0.56,0.55,4.402781897008494,4.186841640479467,0.2159402565290271,0.4213234338499682,0.9218604651162792,0.6799999999999999,LAK,27.0,16.0,5.0,59.0
CHI,2013,2.781655333553006,2.306683042267022,2.4374210067775675,1.9513504006413536,5.3101855670103095,0.9397113402061856,0.7286686442156691,5.912580701448264,73.92,57.05,0.5644040619989311,0.55,0.55,0.55,3.378965341640955,3.5107689542581553,-0.1318036126172002,-0.233532037264476,0.904890085240018,0.6049382716049383,CHI,36.0,7.0,5.0,77.0
WPG,2013,2.7412054537656716,2.803083950888182,2.3431810101432604,2.277076231308167,5.398957730167921,0.62387294234428,1.204981837052413,6.928311957891616,78.95,85.05,0.4814024390243903,0.49,0.5,0.51,4.4404105285205615,4.105285205613349,0.3351253229072126,0.0383000369036812,0.9065911847957946,0.6778242677824268,WPG,24.0,21.0,3.0,51.0
COL,2013,2.6377149557928963,2.9061157046818886,2.160318899251183,2.4646143529499422,6.24922691182616,0.5069786878395319,0.508441077163798,6.405171703862307,75.3,80.79,0.482413991927734,0.48,0.47,0.46,3.597865266608479,3.765765645716874,-0.1679003791083957,0.3156527127237838,0.9193427931292008,0.6375545851528384,COL,16.0,25.0,7.0,39.0
WPG,2014,2.768871471059863,2.6913828322011004,2.307726111439022,2.103460012321797,6.474249518039108,0.7435968052877995,0.9027374112875972,6.6488678607637715,82.06,77.57,0.5140637724738458,0.51,0.52,0.51,4.862501912930076,4.335531262267704,0.5269706506623724,0.2481552700391901,0.913191489361702,0.6220095693779905,WPG,37.0,35.0,10.0,84.0
BOS,2014,2.529870422759428,2.4348316358173117,2.145723302716704,2.048983913136595,5.868156847887858,0.6563743133169161,0.8796083697959537,6.2695490187583935,62.99,62.62,0.5014728126741501,0.51,0.52,0.51,3.5818638294767493,3.211737900430818,0.3701259290459306,0.0349828700678896,0.9179256839526336,0.6538461538461539,BOS,54.0,19.0,9.0,117.0
BUF,2014,2.0692253481140552,3.14249546591672,1.7596587687073153,2.640301782588328,5.681872200383947,1.0432397842581589,0.5215692658310271,6.957675402897607,53.09,76.61,0.4093292212798767,0.4,0.38,0.39,3.823660065664882,3.4990096827310713,0.3246503829338105,-0.0919842751645794,0.9079082505991098,0.6318181818181818,BUF,21.0,51.0,10.0,52.0
FLA,2014,2.5620684277414068,2.481078013996131,2.1720521320183654,2.037151269328172,6.517774343122102,0.9149922720247295,0.6274404921101899,6.282428456806633,66.57,64.27,0.5087893610516662,0.51,0.51,0.5,3.774774445945004,3.7389379796860327,0.0358364662589716,-0.0633110903908499,0.9121287128712872,0.6451612903225806,FLA,29.0,45.0,8.0,66.0
NSH,2014,2.55622789888459,2.312520999178329,2.2447221774043413,1.8378364960967073,5.257032158078264,0.3961255327392483,0.7104419101924446,6.164647184604419,63.5,64.47,0.4962100492302883,0.53,0.53,0.53,3.4011184037630526,3.628658015282412,-0.2275396115193593,-0.1065843443432788,0.912855910267472,0.5862068965517242,NSH,38.0,32.0,12.0,88.0
SJS,2014,3.0560163268037273,2.8439150872379932,2.4973279311973355,2.4069498645323257,7.222915532476234,1.0628585786674485,1.0039147455415398,6.956067855589387,87.88,86.39,0.5042749756125553,0.52,0.52,0.52,3.5049097509158735,3.878285016477358,-0.3733752655614846,0.121888957660717,0.9072249589490968,0.6382113821138211,SJS,51.0,22.0,9.0,111.0
CHI,2014,2.8884001722003263,2.5694291025226015,2.428237962947742,2.3544129008926076,5.576894747044001,0.8471409187827098,0.8879001837701905,5.551987619692427,75.26,61.43,0.5505889238422709,0.53,0.54,0.53,3.015508041021054,3.640234806491552,-0.6247267654704971,0.3348295183396685,0.9249091643116674,0.6101694915254237,CHI,46.0,21.0,15.0,107.0
VAN,2014,2.646844428677093,2.7696200328660026,2.118644994887805,2.338431502901118,6.606968702899193,0.6654845287702811,0.8212981505477677,5.170927082106255,72.32,77.97,0.4812030075187969,0.49,0.49,0.5,4.060390442753917,3.6627854439085774,0.3976049988453396,0.1189200405637423,0.910093992644054,0.6623931623931624,VAN,36.0,35.0,11.0,83.0
ANA,2014,2.5994589624338693,2.4662118042136965,2.249190694873146,2.0421591507942485,5.393800229621125,0.6724366334010422,1.1365382180390833,5.196471531676023,62.71,64.27,0.4938573003622618,0.51,0.51,0.52,4.101757705787503,3.622019962420544,0.4797377433669596,-0.1843392278887542,0.9066328686100548,0.6032608695652174,ANA,54.0,20.0,8.0,116.0
NYR,2014,2.8236734284328646,2.53878957138318,2.3390577917146427,2.3112766113819543,6.577785834050845,0.727602302080029,0.9724950884086444,4.450973388105019,82.37,66.8,0.5521887779044043,0.53,0.5,0.5,3.407528805792933,3.323243640985334,0.084285164807599,0.2871715972373195,0.9226633581472292,0.6567164179104478,NYR,45.0,31.0,6.0,96.0
EDM,2014,2.4829281289549057,2.947885166189302,2.06816627676804,2.5937736188590965,5.844421234276372,0.7487398392443576,0.7855105533371364,6.540787221905306,64.68,80.36,0.4459459459459459,0.46,0.49,0.48,3.2611736495037635,3.4410177845866916,-0.179844135082928,-0.3612469193365749,0.887987012987013,0.6495726495726496,EDM,29.0,44.0,9.0,67.0
DAL,2014,3.060972751441448,2.8341179543156385,2.5560181440085383,2.338137570888269,5.9499780605528745,0.9951733216322948,1.0661840319197071,6.468183126979556,87.59,81.92,0.516724677010206,0.52,0.52,0.52,3.8090391015810727,4.206818501429729,-0.3977793998486563,-0.2637397960208666,0.8952730236348818,0.5733333333333333,DAL,40.0,31.0,11.0,91.0
CAR,2014,2.6160257649812295,2.4904814930886636,2.240390302802854,2.1751875435970027,5.913865453421088,0.6090375016564336,0.4745333755140778,5.286301803226827,70.06,64.2,0.5218233278712946,0.51,0.53,0.52,2.7725360236312353,3.3246427642677583,-0.552106740636523,-0.1380266851591307,0.902101028162718,0.6206896551724138,CAR,36.0,35.0,11.0,83.0
TOR,2014,2.5916719828723545,3.2201710760556983,2.1633530906011855,2.650770533446232,5.347434042079484,0.9244127796949794,1.0024955436720142,7.10873440285205,65.96,97.15,0.4043896756789896,0.45,0.47,0.46,4.004021389516999,4.220454978139539,-0.2164335886225403,0.1299803940560924,0.9064774381368268,0.6867924528301887,TOR,38.0,36.0,8.0,84.0
CBJ,2014,2.537155661966007,2.8317466245619185,2.056713041129196,2.25091173093807,6.199754642751385,0.593933753542874,0.764266304347826,6.668070652173913,70.49,78.52,0.4730554996308972,0.47,0.47,0.47,4.645749899128671,3.94948764034453,0.6962622587841416,-0.1453747578254477,0.9095550692924872,0.6100917431192661,CBJ,43.0,32.0,7.0,93.0
STL,2014,2.6035409137089656,2.31154044736097,2.25435871057664,1.9664411434070743,5.899001712543336,0.6405747462512009,0.3902207453121291,5.08426299549015,67.57,61.72,0.5226235594400186,0.53,0.52,0.53,4.185140154227944,3.981279459036325,0.2038606951916186,-0.0508452557419098,0.9117778772951188,0.6741573033707865,STL,52.0,23.0,7.0,111.0
CGY,2014,2.645619753020457,2.6755538339266276,2.124091818252759,2.4070872059832182,6.264163159598575,0.6176756231790224,1.1484491623818212,6.299552164538066,72.91,67.04,0.5209717756341551,0.5,0.47,0.48,2.897234336701641,3.7988632796585833,-0.9016289429569424,0.1149276359289115,0.9109531772575252,0.6145833333333333,CGY,35.0,40.0,7.0,77.0
MTL,2014,2.4812917527935054,2.5751175818579433,2.098043121047652,2.21172135637106,5.081306101209834,0.7524391830362951,0.6780424983902125,5.259175788795878,71.4,65.25,0.5225027442371021,0.49,0.48,0.49,3.8824480992181183,3.678739402654205,0.2037086965639138,0.3702705131661724,0.925506072874494,0.6335078534031413,MTL,46.0,28.0,8.0,100.0
LAK,2014,2.573377904976907,2.439449244096539,2.3087832979312513,1.956492631683348,5.123188713721158,0.6883950197594867,0.8449612403100775,6.04031007751938,66.77,69.19,0.4911003236245955,0.51,0.54,0.54,3.570629468713578,3.714897326035339,-0.1442678573217608,0.0710519197309671,0.911060948081264,0.6402116402116402,LAK,46.0,28.0,8.0,100.0
TBL,2014,2.862789747573856,2.6260221952836695,2.5677971525238603,2.125290656745583,4.69704719832597,0.7449430365031388,1.036649214659686,7.051342678601587,71.51,73.75,0.4922896874569737,0.52,0.51,0.51,3.990328910796927,4.303768643971308,-0.313439733174381,0.1426150785943435,0.909925666812418,0.6712962962962963,TBL,46.0,27.0,9.0,101.0
COL,2014,2.4672956831830586,3.047448760855188,1.9900294791463105,2.607469990727998,5.913832599118943,0.8405286343612335,0.4451076529524622,6.0826263056917504,70.27,82.07,0.4612708415386635,0.45,0.44,0.45,3.46967194318246,3.637173347336096,-0.167501404153636,0.3793906804079857,0.9179845531445384,0.6768558951965066,COL,52.0,22.0,8.0,112.0
NJD,2014,2.2344239772712116,2.645582958744048,1.891267878667379,2.0940688181129072,5.733888752756677,0.9438863023768684,0.63945780889253,6.084903552543382,57.76,69.78,0.4528775286184726,0.46,0.46,0.45,3.769457523575783,3.1572207920395887,0.6122367315361941,0.136612823625135,0.9169976171564734,0.634020618556701,NJD,35.0,29.0,18.0,88.0
ARI,2014,2.38549875553005,3.0260437866584815,1.9926847836880608,2.393813511634835,6.818918547685546,0.8060070509592052,0.6301338519620181,7.837547191396865,64.52,91.36,0.413908134462407,0.44,0.48,0.47,3.9876420464023807,3.42312645549602,0.5645155909063608,-0.1808852084904212,0.9019103600293902,0.578740157480315,ARI,37.0,30.0,15.0,89.0
PHI,2014,2.6793015204973396,2.7808671581204383,2.1377220290836423,2.3260472836274455,7.332807112292801,0.8808940218520211,0.4830805134189031,5.936989498249709,75.65,78.14,0.491904545158983,0.49,0.5,0.49,3.775851939870487,3.6683118529754415,0.1075400868950455,0.1162627828320879,0.9101168883514712,0.6192660550458715,PHI,42.0,30.0,10.0,94.0
DET,2014,2.701264536187259,2.464261158111865,2.066563349508397,1.9008663397779528,7.251606194525941,0.7286366843688491,0.6100517254690032,6.607735659692735,79.46,73.94,0.5179921773142112,0.52,0.53,0.52,3.981943738602733,4.077606050641236,-0.0956623120385038,-0.0588323219036798,0.909130060292851,0.5902439024390245,DET,39.0,28.0,15.0,93.0
MIN,2014,2.7947508109702155,2.2972306372483313,2.453817216941524,2.015198334061062,5.877641277641278,0.686977886977887,0.6313253012048192,4.512449799196787,72.18,50.38,0.5889360313315928,0.55,0.51,0.52,3.486501702367229,3.679526018069221,-0.1930243157019919,-0.0914452695638188,0.912621359223301,0.6283783783783784,MIN,43.0,27.0,12.0,98.0
NYI,2014,3.1355658060264777,2.52896423650632,2.708368304122439,2.1984201431745247,6.365054602184087,0.7171486859474379,1.138623473506719,6.511675438148281,93.72,72.3,0.5645102999638598,0.55,0.53,0.54,3.210926735757503,3.8339423710537353,-0.6230156352962322,-0.1547954232312944,0.903489875053856,0.6482412060301508,NYI,34.0,37.0,11.0,79.0
PIT,2014,2.786007051123981,2.603544222810186,2.2777980066557713,2.1284242080394264,7.0049013747758515,0.8851165570830842,0.6846792452830188,6.223245283018868,82.16,72.52,0.5311611068011378,0.52,0.52,0.52,4.654541576972549,4.354635547528441,0.2999060294441076,0.1563110225462688,0.9150354019158684,0.6839622641509434,PIT,51.0,24.0,7.0,109.0
WSH,2014,2.829705847072465,2.585000466486292,2.3377387180958684,2.1000741445105833,7.9337314582932,0.6553650549027162,0.5225275380761124,6.247425140175767,75.27,70.82,0.5152303374632077,0.52,0.51,0.51,4.2103719894973946,3.862506497487638,0.3478654920097566,0.1979234695917578,0.9159628378378378,0.6536585365853659,WSH,38.0,30.0,14.0,90.0
OTT,2014,2.691190514085628,2.4796673563584277,2.1495940142262784,2.1011273654543015,6.049447503603237,0.906020178129273,0.8899194340734918,5.513539005698566,78.64,64.53,0.5492770831878186,0.52,0.51,0.5,3.8795161547031674,4.130192583160911,-0.2506764284577434,-0.0032229826515996,0.9210626185958254,0.6632124352331606,OTT,37.0,31.0,14.0,88.0
FLA,2015,2.6926537733893987,2.6613676322140294,2.153991904957262,2.2132202113846584,5.233093190797118,0.6790611201487334,0.5451902108068815,6.187545432517568,74.58,79.34,0.4845374220374219,0.5,0.49,0.49,4.115330877683221,4.127364008904517,-0.0120331312212957,0.2547413879548355,0.9173212071103762,0.6529680365296804,FLA,38.0,29.0,15.0,91.0
LAK,2015,2.821119644773754,2.602045627045878,2.4596515169165736,2.0390753715322267,6.570439414114514,0.5752330226364847,0.5567010309278351,6.669576341334938,74.95,76.96,0.4933842406688171,0.52,0.55,0.55,4.14073967573568,3.62314721626872,0.5175924594669596,0.2909351103561957,0.9148558758314856,0.7110091743119267,LAK,40.0,27.0,15.0,95.0
TBL,2015,2.592086012268292,2.519120548717467,2.184096220225972,2.014295821452308,5.230978260869565,0.5434782608695652,0.509541081848289,5.816432739315565,66.19,65.05,0.504343188052423,0.51,0.51,0.51,3.9865236708232104,4.179809666984336,-0.1932859961611255,0.1272063462235406,0.9163498098859316,0.6781609195402298,TBL,50.0,24.0,8.0,108.0
SJS,2015,2.9377198094817016,2.4481601318354467,2.3785319180744504,1.915233966213186,6.6348894734775605,0.6162786132160667,0.5995881949210707,6.740425531914894,82.98,72.82,0.5326059050064185,0.55,0.52,0.53,3.4606804799131816,3.906830925058783,-0.4461504451456015,-0.0478707369521091,0.9077951002227173,0.558974358974359,SJS,40.0,33.0,9.0,89.0
COL,2015,2.4347446119095957,3.0419484518063378,1.992851685202479,2.5179217251039985,5.068180896369904,0.973920097343338,0.8516539543989885,6.2346942937553536,68.3,87.16,0.4393413096616493,0.44,0.45,0.46,3.6301544832407866,3.7390591177380106,-0.1089046344972239,0.1378248652137083,0.909433962264151,0.6804979253112033,COL,39.0,31.0,12.0,90.0
BOS,2015,2.683449889692713,2.8677216439970405,2.2778968572724736,2.3805318205844284,6.183886951734263,0.8258396035969903,0.7498556192969622,5.445809109459824,67.26,84.8,0.4423253978692621,0.48,0.5,0.5,4.194020307253499,3.7240007900612966,0.4700195171922026,0.119915235796472,0.9085072231139648,0.5775862068965517,BOS,41.0,27.0,14.0,96.0
VAN,2015,2.3222596341183173,2.9072307092829237,1.9359671278631871,2.4593583484562247,4.805931386922465,0.9123277342604617,0.8625588397438616,5.7554811076714305,52.9,73.2,0.4195083267248216,0.44,0.47,0.47,3.752735120445213,3.716766413220498,0.0359687072247147,0.0417237003806687,0.9104197901049476,0.6509433962264151,VAN,48.0,29.0,5.0,101.0
WSH,2015,2.8957793967126255,2.661207778915046,2.422378088122047,2.204491435469436,7.004560260586319,0.7129641693811075,0.4859752647320346,5.72694204187212,75.52,70.37,0.5176502844608952,0.52,0.51,0.51,3.75699921729183,3.769040881449816,-0.0120416641579863,0.361249924739599,0.9181311615945136,0.7378640776699029,WSH,45.0,26.0,11.0,101.0
CAR,2015,2.832485788216958,2.678429060973295,2.3719876781958167,2.3769293191920577,6.415642458100558,0.6776106574989257,0.427196333078686,4.9466768525592055,80.46,67.34,0.5443843031123139,0.51,0.53,0.52,2.9372683404433877,3.380855804102185,-0.4435874636587971,0.0288931293896675,0.9022988505747126,0.6950000000000001,CAR,30.0,41.0,11.0,71.0
CBJ,2015,2.8891035949143644,2.995617099663342,2.4484393900708628,2.338139824957202,6.388758782201405,0.7853239656518345,0.7441508291057772,6.772317710305141,91.19,94.71,0.4905325443786982,0.49,0.48,0.48,4.380894432613325,4.067973401712373,0.3129210309009522,0.0108318818388791,0.9027450980392157,0.6693227091633467,CBJ,42.0,35.0,5.0,89.0
NSH,2015,2.645065643061045,2.208699086050473,2.0973141300116778,1.8664724569620412,6.339731981166244,0.4940239043824701,0.502170340090185,4.504361751443382,75.42,57.0,0.5695514272768464,0.54,0.52,0.53,3.698634262900209,3.782967943161777,-0.0843336802615684,-0.3574543276229613,0.9050378956754348,0.5123456790123457,NSH,47.0,25.0,10.0,104.0
NYR,2015,2.4731010590714613,2.7513611128793944,2.0808496482387295,2.324359621995244,5.309527130701632,0.7733296136141722,0.8950786056049214,5.622693096377307,66.42,71.7,0.4808861859252824,0.47,0.48,0.48,3.6064046852436937,3.304865831962448,0.3015388532812455,0.1581269746606852,0.9137931034482758,0.6176470588235294,NYR,53.0,22.0,7.0,113.0
CHI,2015,2.719109785322854,2.6842385748521056,2.1757613506523508,2.318020385181763,5.419151451464601,0.5248916327334822,0.8044785786989914,5.974460997501619,77.76,75.76,0.5065138092756644,0.5,0.5,0.5,3.113070000502757,3.547451861038025,-0.434381860535268,0.1865428767743125,0.9181170886075948,0.6784140969162995,CHI,48.0,28.0,6.0,102.0
BUF,2015,2.474476319594479,2.6175304791512923,1.9671710737212416,2.194277541693723,6.018816437909828,0.8240133588563515,0.6891297978318195,6.0105479050688535,63.56,66.64,0.4881720430107527,0.49,0.48,0.48,3.2337452874607218,3.6785355314608954,-0.4447902440001736,0.0329385207719048,0.9144448865897334,0.6153846153846154,BUF,23.0,51.0,8.0,54.0
DET,2015,2.6363299518311183,2.675986660925123,2.201163870016148,2.2486172156126423,6.0349210119966745,0.7041216296472265,0.5989566866898514,5.6168194751817895,65.58,74.86,0.466960979777841,0.5,0.51,0.5,3.9416365402525617,3.8815506173828576,0.0600859228697037,0.0442232392321019,0.9102091020910208,0.6220095693779905,DET,43.0,25.0,14.0,100.0
PIT,2015,2.900014711586042,2.476441401077958,2.4075001885101,1.966989786941696,6.041866125760649,0.9916430020283976,0.7205257054503286,5.996134518747584,72.99,68.34,0.5164508596900871,0.54,0.52,0.52,3.899907718233005,3.815650452715625,0.0842572655173796,0.08112770994102,0.9183087027914614,0.6526315789473685,PIT,43.0,27.0,12.0,98.0
NJD,2015,2.3004427704205317,2.6245266764169655,1.928533396438502,2.054952206286289,4.9816721064524225,0.7742907356264123,0.7813694820994092,5.8282933611400765,66.13,73.5,0.473608823318771,0.47,0.46,0.47,3.834672329853946,3.726484082303207,0.1081882475507383,0.1963015647226175,0.9140059599829716,0.6634615384615384,NJD,32.0,36.0,14.0,78.0
